name	value
This publication is copyrighted. You may download, display and print it for Your own personal use. Commercial use is prohibited.	433
Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea ja tulostaa henkilökohtaista käyttöä varten. Käyttö kaupallisiin tarkoituksiin on kielletty.	373
The author owns the copyright in this thesis, unless stated otherwise.	160
Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea ja tulostaa henkilökohtaista käyttöä varten Käyttö kaupallisiin tarkoituksiin on kielletty.	34
© the Authors, 2018	21
Julkaisu on tekijän oikeussännön alainen. Teosta voi lukea ja tulostaa henkilökohtaista käyttöä kvarten Käyttö kaupallisiin tarkoituksiin on kielletty.	20
© 2021 the Authors	14
© Kieliverkosto ja kirjoittajat	13
© 2022 the Authors	9
© 2023 the Authors	9
© The Author(s) 2019	9
© The Author(s) 2022	8
Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea ja tulostaa henkilökohtaista käyttöä kvarten Käyttö kaupallisiin tarkoituksiin on kielletty.	6
© Business and Organization Ethics Network (BON)	6
© Kirjoittajat ja Prologos ry	4
© Kirjoittaja, 2020	4
© The Author(s) 2023	4
© Kirjoittaja, 2019	4
© Authors, 2022	4
© Authors, 2020	4
true	3
© 2013 American Physical Society. Published in this repository with the kind permission of the publisher.	3
© Kirjoittaja ja Prologos ry	3
© 2020 the Authors	3
© Authors 2023	3
© 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group	3
© The Author & University of Jyväskylä	3
© Kirjoittaja, 2022	3
© 2021 by the authors. Licensee MDPI, Basel, Switzerland.	3
© 2018 The Authors	3
© 2017 American Physical Society. Published in this repository with the kind permission of the publisher.	3
© The Author(s) 2021	3
© Kirjoittajat & Jyväskylän yliopisto, 2020	2
© 2020 American Physical Society	2
© 2021 by the authors. Licensee MDPI, Basel, Switzerland	2
© Business and Organization Ethics Network (BON), 2019	2
© 2018 Walter de Gruyter GmbH, Berlin/Boston.	2
© 2021 Elsevier	2
© The Author(s) 2022. Published by Oxford University Press on behalf of the European Public Health Association.	2
"© The Author(s). Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea
 ja tulostaa henkilökohtaista käyttöä varten. Käyttö
 kaupallisiin tarkoituksiin on kielletty."	2
© Kirjoittajat, 2022	2
© 2020 Elsevier Ltd. All rights reserved.	2
© 2014 Suomen puhe-luki-yhdistys FinRA	2
© Kirjoittajat 2023	2
© 2019 Taylor & Francis	2
©2022 American Physical Society	2
© 2022 Liikuntatieteellinen seura	2
© Kirjoittaja 2023	2
© Author, 2019	2
© 2022 by the authors. Licensee MDPI, Basel, Switzerland.	2
© 2019 Elsevier B.V. All rights reserved.	2
© 2016 Informa UK Limited, trading as Taylor & Francis Group. This is a final draft version of an article whose final and definitive form has been published by Taylor & Francis. Published in this repository with the kind permission of the publisher.	2
© 2019 Elsevier B.V.	2
© 2017 the Authors. This is an open access article distributed under the terms of the Creative Commons Attribution License.	2
© 2020 by the authors. Licensee MDPI, Basel, Switzerland.	2
© The Author(s) 2020	2
© Kieliverkosto ja kirjoittajat, 2018	2
© 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group	2
© 2019 the Authors	2
© The Author(s) 2018	2
© 2020 Janus Sosiaalipolitiikan ja sosiaalityön tutkimuksen aikakauslehti	2
© 2018 Wiley‐VCH Verlag GmbH & Co. KGaA, Weinheim	2
©2023 American Physical Society	2
© 2022 Gerontologia	2
© 2020 Taylor & Francis	2
© 2021 kirjoittajat	2
© 2016 Elsevier B.V. This is a final draft version of an article whose final and definitive form has been published by Elsevier. Published in this repository with the kind permission of the publisher.	2
© Emerald Publishing Limited	2
© 2020 American Chemical Society	2
© The Royal Society of Chemistry 2015. This is a final draft version of an article whose final and definitive form has been published by RSC. Published in this repository with the kind permission of the publisher.	2
© Liikuntatieteellinen Seura 2021	2
© The Authors, 2019	2
false	1
© 2020 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other uses, in any current or future media, including reprinting/republishing this material for advertising or promotional purposes, creating new collective works, for resale or redistribution to servers or lists, or reuse of any copyrighted component of this work in other works.	1
© 2019 The Author(s).	1
© 2023 Laajala et al.	1
"©Heli Lahtio, Ari Heinonen, Teemu Paajanen, Tuulikki Sjögren. Originally published in the Journal of Medical Internet Research
(https://www.jmir.org), 12.04.2023"	1
© 2021 The Finnish Mathematical Society	1
© Kirjoittaja & Agricola: Suomen historiaverkko; Historiallinen Yhdistys ry, 2020	1
© 2022 Judit Háhn, Katarzyna Radke, and Ivonne Dekker	1
© The Authors 2015. This is a final draft version of an article whose final and definitive form has been published by SAGE Publications. Published in this repository with the kind permission of the publisher.	1
© 2016 Kapucu, Välkki, Mikkonen, Leone, Lenk, Tanskanen and Hyttinen. This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY).	1
© European Federation of Adapted Physical Activity. This is an open access article published under Creative Commons License.	1
© 2013 American Chemical Society. This is a final draft version of an article whose final and definitive form has been published by ACS. Published in this repository with the kind permission of the publisher.	1
© 2022 International Commission for the History of Representative and Parliamentary Institutions/Commission Internationale pour l’Histoire des Assemblées d’États	1
© the Authors 2017. This article is licensed under a Creative Commons Attribution 4.0 International License.	1
© Nuorisotutkimusseura ja tekijät	1
© 2022 American Statistical Association	1
© 2016 IEEE. This is a final draft version of an article whose final and definitive form has been published by IEEE. Published in this repository with the kind permission of the publisher.	1
© 2019 Authors	1
© 2020: The authors	1
© Springer Science+Business Media Dordrecht 2017	1
© 2012 Carty et al. This is an open-access article distributed under the terms of the Creative Commons Attribution License.	1
© Oxford University Press 2016. This is a final draft version of an article whose final and definitive form has been published by OUP. Published in this repository with the kind permission of the publisher.	1
© 2022 Työväen historian ja perinteen tutkimuksen seura	1
© Laihonen, 2014.	1
© 2022 American Physical Society	1
© 2020 The Authors	1
© 2014 Taylor & Francis. Published in this repository with the kind permission of the publisher.	1
© 2017 The Author(s). Published by  Elsevier B.V. This is an open access article under the CC BY license. Funded by SCOAP3.	1
© 2020 by the National Strength & Conditioning Association	1
© Kirjoittajat ja Terveyden ja hyvinvoinnin laitos, 2022	1
© Hanken Svenska handelshögskolan ja kirjoittajat 2020	1
© Kirjoittajat & Palkansaajien tutkimuslaitos, 2019	1
© Kirjoittaja & Ny Tid, 2018.	1
© 2012 Jihyun Kim & Kim H. Y. Hahn, and the Agora Center, University of Jyväskylä	1
© 2019 The Author(s)	1
© Säntti & Lukukeskus, 2023	1
© 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group	1
"© Copyright owned by the author(s) under the terms of the Creative Commons
Attribution-NonCommercial-NoDerivatives 4.0 International License (CC BY-NC-ND 4.0)."	1
"© 2015 Varga et al. This is an open access article distributed under the terms of the
Creative Commons Attribution License."	1
© Huuhka, 2018	1
©  Martikainen, 2017. This is an open access article under the terms of the Creative Commons License.	1
© CERN for the benefit of the ALICE collaboration 2017. This article is an open access publication. EPJC is an open-access journal funded by SCOAP3 and licensed under CC BY 4.0.	1
© 2016 Tekijä & Lähikuva-yhdistys.	1
© 2017 Elsevier Inc. This is a final draft version of an article whose final and definitive form has been published by Elsevier. Published in this repository with the kind permission of the publisher.	1
"© 2016 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.
This is an open access article under the terms of the Creative Commons Attribution License."	1
© Kieliverkosto ja kirjoittajat, 2019	1
© 2022 White Horse Press	1
© Jokinen & Taloustieteellinen Yhdistys, 2017.	1
© the Authors, 2016. Published by Elsevier GmbH. This is an open access article under the CC BY-NC-ND license.	1
© Kirjoittaja & Aikuiskasvatus, 2001	1
© The Royal Society of Chemistry 2020	1
© 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.	1
© Historiska Föreningen i Finland, 2020	1
© 2022 by the authors.  Licensee MDPI, Basel, Switzerland	1
© 2018 Elsevier Ltd. This is a final draft version of an article whose final and definitive form has been published by Elsevier Ltd. Published in this repository with the kind permission of the publisher.	1
© 2020 Wiley‐VCH GmbH	1
© American Chemical Society.	1
© 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.	1
© Haapala & Valtiotieteellinen yhdistys, 2017.	1
© The Authors 2019	1
© 2022 Astikainen, Kreegipuu and Czigler.	1
© 2020 Philosophy Documentation Center	1
© Kirjoittajat & Kieliverkosto, 2020	1
© Kirjoittaja & Suomen filosofinen yhdistys, 2016.	1
© Suonperä, 2019	1
© 2023 Karhulahti VM et al	1
© 2015 Taylor & Francis. This is a final draft version of an article whose final and definitive form has been published by Taylor & Francis (Routledge). Published in this repository with the kind permission of the publisher.	1
© Oxford University Press 2018	1
©  The Author(s) 2021. Published by Oxford University Press. All rights reserved.	1
©  2022 Työelämän tutkimus	1
© 2022 Kirjallisuus- ja kulttuuriyhdistys Särö ry	1
© 2013 Tekijä(t)	1
© Kirjoittajat & Palkansaajien tutkimuslaitos, 2021	1
© 2017 Elsevier Ltd. This is a final draft version of an article whose final and definitive form has been published by Elsevier. Published in this repository with the kind permission of the publisher.	1
© 2023 The Author(s). Published by Elsevier B.V.	1
© 2005 Alona Forkosh-Baruch, Rafi Nachmias, David Mioduser, & Dorit Tubin and the Agora Center, University of Jyväskylä	1
© 2023 Chengdu Sport University	1
© 2019 Elsevier Ltd.	1
© Siirtolaisuusinstituutti & tekijät, 2019.	1
© 2023 Tellus Institute	1
© Springer Nature Switzerland AG 2018	1
© Societa Italiana di Fisica / Springer-Verlag 2016. This is a final draft version of an article whose final and definitive form has been published by Springer. Published in this repository with the kind permission of the publisher.	1
© Kirjoittajat & Suomalaisen Kirjallisuuden Seura, 2014. Julkaistu alkuperäisen julkaisijan luvalla.	1
©2011 American Physical Society	1
Copyright © 2018 Toni Ruohonen, Karoliina Kaasalainen, Jari Korpela, Anette Karhu, Ville Rissanen, Helena Hassel, Petri Vähäkainu, Sonja Kärkkäinen ja Jyväskylän yliopisto	1
© 2016 IEEE	1
© Kirjoittajat & Ympäristökustannus Oy, 2020	1
© The Author(s) 2021. Published by Oxford University Press	1
"© 	Niilo Mäki Instituutti, 2017"	1
© Kirjoittajat & Suomen kasvatuksen ja koulutuksen historian seura, 2016.	1
© 2013 Ruusuvirta et al. This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium.	1
© 2021 Toinen Aatos Oy	1
© 2017 IEEE. This is a final draft version of an article whose final and definitive form has been published by IEEE. Published in this repository with the kind permission of the publisher.	1
© 2010 Taylor & Francis. This is a final draft version of an article whose final and definitive form has been published by Taylor & Francis.	1
© Online Journal of Communication and Media Technologies, 2014. This is an open access article published by Faculty of Communication and Media Studies, Eastern Mediterranean University.	1
© 2022 The Authors. Published by American Chemical Society and American Society of Pharmacognosy	1
© 2017 The Authors. This is an open access article distributed under the terms of the Creative Commons Attribution License.	1
© 2014 CERN on behalf of The ALICE Collaboration. This is an Open Access article distributed under the terms of the Creative Commons Attribution 3.0 License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work in properly cited. The Creative Commons Public Domain Dedication waiver applies to the data made available in this article, unless otherwise stated.	1
"©  2023 CERN for the benefit of the ALICE collaboration. Published by
IOP Publishing Ltd on behalf of Sissa Medialab"	1
© 2023 selection and editorial matter, Margit van Wessel, Tiina Kontinen, and Justice Nyigmah Bawole; individual chapters, the contributors	1
© the Author(s) 2016. This work is licensed under a Creative Commons Attribution 4.0 International License.	1
© 2014 American Physical Society. Published in this repository with the kind permission of the publisher.	1
© 2023 Sosiaalialan korkeakoulutettujen ammattijärjestö Talentia ry	1
© the Authors & MATFYZPRESS, 2012.	1
© authors 2022	1
© 2020 Informa UK Limited, trading as Taylor & Francis Group	1
© the Authors, 2016. Published by the American Physical Society under the terms of the Creative Commons Attribution 3.0 License.	1
© Nina Väkeväinen	1
© 2020 Elsevier Inc	1
© 2020 The Authors. Criminal Behaviour and Mental Health published by John Wiley & Sons Ltd	1
© Pekkarinen & Kansantaloudellinen yhdistys, 2018.	1
© Springer-Verlag Berlin Heidelberg 2016. This is a final draft version of an article whose final and definitive form has been published by Springer. Published in this repository with the kind permission of the publisher.	1
© Tekijä & Nykykulttuurin tutkimuskeskus, 2011.	1
© Kirjoittaja & Jyväskylän yliopisto, 2019	1
© tekijät ja Nykykulttuurin tutkimuskeskus	1
© 2021 Kunnallistieteen yhdistys	1
© 2016 American Physical Society. Published in this repository with the kind permission of the publisher.	1
© Kirjoittajat & Terveyden ja hyvinvoinnin laitos, 2020	1
© 2018 Published by Elsevier Ltd.	1
© International Federation for Information Processing	1
© 2015 The Authors. Published by John Wiley & Sons Ltd. This is an open access article under the terms of the Creative Commons Attribution License.	1
© 2023 American Physical Society	1
© 2023 Kirjoittajat	1
© 2019 Acta Ophthalmologica Scandinavica Foundation. Published by John Wiley & Sons Ltd	1
© Valkonen & Jyväskylän yliopisto, 2016.	1
© 2018 Corrado Piroddi	1
© 2022 Työelämän tutkimus	1
© 2022 Minna Maunumäki, Leena Valkonen	1
© 2021 The Authors	1
© 2017, THEIJSSHI. This is an open access article published by Valley International.	1
©  2021 Gerontologia	1
© Eerola & Sukupuolentutkimuksen seura, 2014.	1
© the Authors, 2016.	1
© Kirjoittajat & Hallinnon tutkimuksen seura, 2016	1
© 2019 Kirjoittaja ja Liikuntatieteellinen seura ry	1
© Kirjoittaja & Suomen urheiluhistoriallinen seura, 2011	1
"© 2014 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.
This is an open access article under the terms of the Creative Commons Attribution License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited."	1
© 2021 Mouton De Gruyter	1
© Elsevier Ltd, 2018. This is a final draft version of an article whose final and definitive form has been published by Elsevier Ltd. Published in this repository with the kind permission of the publisher.	1
© Leena Rossi	1
© Taylor & Francis, 2019	1
© Taylor & Francis, 2009	1
© Maunula & IATED, 2014.	1
© Kirjoittajat & Agricola - Suomen historiaverkko, 2018.	1
© 2020 Elsevier	1
© 2022 The Authors. Published by Elsevier Ltd.	1
© The Author(s), 2018.	1
© Kirjoittaja & Suomalaisen Kirjallisuuden Seura, 2018	1
© 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.	1
© Anna-Leena Toivanen. This is an electronic reprint version of an article published in Postcolonial Text by Open Humanities Press. Articles is free to use, with proper attribution, in educational and other non-commercial settings.	1
© 2021 Kirjoittajat	1
©  2021 The Authors. Published by Elsevier Inc.	1
© ICMPC-APSCOM, 2014.	1
© 2019 The Nordic Association for Women’s Studies and Gender Research	1
© kirjoittajat ja Suomen soveltavan kielitieteen yhdistys AFinLA	1
© 2009 Peter Lang Publishing, Inc.	1
© 2022 Royal Society of Chemistry	1
© 2012 American Physical Society. Published in this repository with the kind permission of the publisher.	1
© 2021 kirjoittaja	1
© Voima Kustannus, 2019.	1
© Kirjoittajat & Koulutuksen arviointikeskus, Helsingin yliopisto, 2018.	1
© 2022 Taylor & Francis	1
© 2019 Suomalaisen Kirjallisuuden Seura	1
© 1997 Kluwer Academic Publishers	1
© 2015 Niilo Mäki Säätiö	1
© 2016 Rahikainen et al. This is an Open Access article distributed under the terms of the Creative Commons Attribution License.	1
© the Authors & International Information Management Accociation, 2006.	1
"© The Author(s) 2020. Published by Oxford University Press on behalf of The
Gerontological Society of America."	1
© 2018, IEEE.	1
© The Author, 2019.	1
© 2018, IGI Global. All rights, including translation into other languages reserved by the publisher. Published in this repository with the kind permission of the publisher.	1
© Koulutuksen tutkimuslaitos ja kirjoittajat, 2020	1
© Pentikäinen 2021	1
© by Tuuli Lähdesmäki. This article is distributed under the terms of the Creative Commons Attribution Non-Commercial License, which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited. (CC BY-NC-ND 3.0)	1
© Kirjoittaja & Kotikielen Seura, 2009	1
© Finnish Zoological and Botanical Publishing Board 2017. Published in this repository with the kind permission of the publisher.	1
© Karppinen-Kummunmäki, 2015. Julkaistu Creative Commons Attribution 4.0. International -lisenssillä.	1
© 2021 The Authors. The FASEB Journal published by Wiley Periodicals LLC on behalf of Federation of American Societies for Experimental Biology	1
© 2019 Kansantaloudellinen yhdistys	1
© 2022 The Author(s). Published with license by Taylor & Francis Group, LLC	1
© Springer Nature Switzerland AG 2019.	1
© 2013 Elsevier B.V. This is a final draft version of an article whose final and definitive form has been published by Elsevier. Published in this repository with the kind permission of the publisher.	1
©2020 Gabriela Patiño-Lakatos, Hugues Genevois, Benoît Navarret, Irema BarbosaMagalhaes, Cristina Lindenmeyer, Maurice Corcos, & Aurélie Letranchant, and the Open Science Centre, University of Jyväskylä	1
© 2019 by the authors. Licensee MDPI, Basel, Switzerland.	1
© 2015 Inderscience Enterprises Ltd. This is a final draft version of an article whose final and definitive form has been published by Inderscience. Published in this repository with the kind permission of the publisher.	1
© Partti, K. , 2017. Julkaistu Creative Commons Attribution 4.0. International -lisenssillä.	1
© 2015 Sarkamo & Sotilasperinteen Seura ry.	1
© 2020 Royal Society of Chemistry	1
© 2016 the Author. Published by Az Apokrif.	1
© the Authors & Journal of Sports Science and Medicine, 2012.	1
© the Authors, 2017.	1
© 2011 Pertti Saariluoma and the Agora Center, University of Jyväskylä	1
© 2021 Informa UK Limited, trading as Taylor & Francis Group	1
© 2015 Sakarias Sokka. This is a final draft version of an article whose final and definitive form has been published by Routledge. Published in this repository with the kind permission of the publisher.	1
© 2020 Equinox Publishing Ltd.	1
© 2020 kirjoittajat	1
© 2021 MAOL ry	1
Virtanen, Pauli and University of Jyväskylä	1
© The Royal Society of Chemistry 2022	1
© 2005 Raul Pertierra and the Agora Center, University of Jyväskylä	1
© 2014 Mary Ann Liebert, Inc. Publishers. This is a final draft version of an article whose final and definitive form has been published by Mary Ann Liebert, Inc. Publishers. Published in this repository with the kind permission of the publisher.	1
© 2020 by The Regents of the University of California	1
© Kirjoittajat & Puheen ja kielen tutkimuksen yhdistys, 2017.	1
© 2021 Taylor & Francis	1
© Kulttuuripolitiikan tutkimuksen seura, 2022	1
"© the Authors, published by EDP Sciences, 2014. This is an Open Access article distributed under the terms of the Creative Commons Attribution License 2.0, which permits
unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited."	1
© 2019 Kliuchko et al.	1
© 2018 John Wiley & Sons Ltd.	1
© 2019 American Physical Society	1
© 2015 Journal of the Canadian Council for Small Business and Entrepreneurship/Conseil de la PME et de l’entrepreneuriat. Published in this repository with the kind permission of the publisher.	1
© Koistinen & Suomen tieteis- ja fantasiakirjoittajat, 2019.	1
© the Authors. This is an Open Access article distributed in accordance with the Creative Commons Attribution Non Commercial (CC BY-NC 4.0) license, which permits others to distribute, remix, adapt, build upon this work non-commercially, and license their derivative works on different terms, provided the original work is properly cited and the use is non-commercial.	1
© 2020 EDEN	1
© 2018 Takala et al. Published under exclusive license by The American Society for Biochemistry and Molecular Biology, Inc	1
© 2020 the Author(s)	1
© 2022 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.	1
© 2015 Elsevier B.V. This is a preprint version of an article whose final and definitive form has been published by Elsevier.	1
© Matti Roitto & Petteri Impola	1
© Kirjoittajat & Koulutuksen arviointikeskus, Helsingin yliopisto, 2017.	1
© Fagerlund & Jyväskylän yliopisto, 2018.	1
© 2015 Hulmi et al. This is an open access article distributed under the terms of the Creative Commons Attribution 4.0 International License.	1
© Springer. This is a final draft version of an article whose final and definitive form has been published by Springer.	1
© Metsähallitus, 2007.	1
© 2020 Copyright for this paper by its authors	1
© Author, 2018	1
© 2015 Eurooppalaisen filosofian seura ry	1
© Wiley	1
© Kirjoittaja & Kotikielen seura, 2020	1
