record.dataset.metas.default.license	count
Interne	1
Licence ouverte v2.0	1
https://www.collectivites-locales.gouv.fr/mentions-legales	1
licence etalab-2.0	1
Insee	1
Licence Creative Common By-CA : https://creativecommons.org/licenses/by-sa/4.0/	1
contacteer Leefmilieu Brussel 	1
BY-NC-SA-4.0	1
Creative Commons Attribution 2.5 Australia Licence	1
Creative Commons	1
LICENCIA-IGCYL-NC	1
Licencia Abierta	1
Apache Licence 2.0	1
Licence de réutilisation des informations publiques de l'Institut national de la propriété intellectuelle	1
https://www.insee.fr/fr/information/2381861	1
Open Data License	1
Departamento Administrativo Nacional de Estadística - DANE 	1
Licence Créative Common : http://creativecommons.org/licenses/by/4.0/	1
Dominio público 	1
Banatic mentions légales	1
contactez Bruxelles Environnement	1
CeCILL v2.1	1
Données publiques. Utilisation libre sous réserve de mentionner la source (a minima le nom du producteur) et la date de sa dernière mise à jour.	1
odc-odbl	1
GNU General Public License v3.0	1
IZIVIA mentions légales	1
ODC Public Domain Dedication and Licence (PDDL)	1
Licence Open Database License (ODbL)	1
Conditions générales d’accès à l’obtention d’1 copie numérique des données géographiques numériques du SPW	1
CC by NC-ND	1
CC BY 3.0 ES	1
Voir SPF Economie	1
Öffentliche Domain	1
Licentie Brussels OpenData License	1
© 2014 fr.gas-globe.com 	1
Private	1
© 2014 United Nations Framework Convention on Climate Change	1
CC BY 3.0 US	1
The MIT License (MIT)	1
© FAO, 2016	1
Open Data Policy (M 13-13)	1
Creative Commons Attribution 3.0 	1
Creative Commons Attribution | No Derivative Works 3.0 Unported	1
GNU General Public License 3	2
Creative Commons Attribution 2.5 Australia	2
eil	2
Pas de licence (domaine public)	2
Open Data Paris	2
Banatic - Mentions légales	2
Ordnance Survey	2
IMF - Terms of Use	2
Open Database Licence (ODbL)	2
Licence ouverte	2
see producer	2
contact Brussel Mobiliteit	2
EDF Banque Hydro	2
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License	2
	2
Licence Ouverte v2.0 (Etalab) ou Open Database License (ODbL) - suivant l'enregistrement (cf. info dans colonne "Licence")	2
https://www.digital.sncf.com/startup/API/conditions-generales-dutilisation-de-lapi-sncf	2
Licence Ouverte https://www.etalab.gouv.fr/licence-ouverte-open-licence	2
CC BY-SA 4.0	2
Creative Commons-CC0	2
CC BY-SA-NC	2
ISC Licence	2
ETALAB	2
Etalab	2
Plusieurs licences	2
Brussels OpenData License	2
Licence RATP http://data.ratp.fr/page/cgu_ratp	2
CC BY-NC 3.0 IT	2
Licence spécifique (voir lien en référence)	3
https://opendata.swiss/de/dataset?q=haltestelle&organization=bundesamt-fur-verkehr-bav&res_rights=NonCommercialAllowed-CommercialAllowed-ReferenceRequired	3
lov2	3
CC BY 4.0 ES	3
SINOE (ADEME)	3
Banatic - Terms of Use	3
Licence ODBL: https://opendatacommons.org/licenses/odbl/summary/	3
contacter Bruxelles Mobilité	3
Open Data Ville de Bruxelles	3
Customized license	3
Creative Commons Attribution - 4.0 International (CC BY 4.0)	3
CC BY-NC-SA 3.0 IGO	3
Creative Commons Namensnennung – 4.0 International (CC BY 4.0)	3
cc-by-sa	4
Creative Commons Attribution	4
Conditions inconnues	4
ODbL 1.0	4
Northern Powergrid Open Data Licence v1.0	4
Creative Commons Attribution 4.0	4
Environment Agency Conditional Licence	4
geo.be AdminVector - Terms of Use	4
Free use of information from INEGI	4
contact Bruxelles Mobilité	4
 Licence Ouverte / Open Licence version 2.0	4
Wake County Geographic Information Services	4
Open data license - Belgium	4
Creative Commons Attribution-NonCommercial 4.0 International license	4
other-pd	5
Privé	5
Open Database Licence	5
Voir producteur	5
© OECD. All rights reserved	5
Creative Commons 1.0 Universal (Public Domain Dedication)	5
Freie Nutzung. Quellenangabe ist Pflicht. Kommerzielle Nutzung nur mit Bewilligung des Datenlieferanten zulässig.	6
Creative Commons Attribution 4.0 International	6
SNCF Open Data	6
Ordnance Survey - INSPIRE	6
Licence ouverte : http://wiki.data.gouv.fr/wiki/Licence_Ouverte_/_Open_Licence	6
Non Commercial Government Licence (National Archives)	6
cc-by	6
other-open	6
Opendata.swiss BY ASK	6
Open use. Must provide the source. Use for commercial purposes requires permission of the data owner.	6
ODbL1.0 - Open Database Licence	6
http://data.worldbank.org/summary-terms-of-use	6
Aucune condition d'accès ne s'applique. Utilisation libre sous réserve de mentionner la source (a minima le nom du producteur) et la date de sa dernière mise à jour	7
Open Data Commons Attribution License	7
EuroGeographics OpenData Licence	7
Restricted 	7
http://professionnels.ign.fr/geofla	8
ODbL Paris	8
CC BY 3.0 IT	8
Creative Commons Attribution License 4.0 (cc-by 4.0)	8
CC BY 3.0	8
CC BY-SA 3.0	8
Statistics Canada Open Licence	8
SP Energy Networks Open Data Licence	9
https://www.insee.fr/fr/information/2381863	10
CC-BY-NC-SA	10
Open Database License (ODBL) V1.0	10
INSEE	10
CC 0	10
U.S. Government Work	10
Data licence Germany – attribution – version 2.0	10
CC BY-NC 4.0	10
Licence Ouverte / Open Licence	11
Service public de Wallonie - Conditions d’utilisation	11
DVF - Terms of Use	11
CC BY-NC-SA	11
Licence ODbL 1.0
http://www.data.rennes-metropole.fr/notre-demarche/licence-odbl-ville-de-rennes-et-rennes-metropole/	11
Licence ODbl	12
Licence Ouverte / Open Licence 	13
Open Government Licence V30 	13
MIT License	13
CC BY-NC-SA 4.0	14
Datenlizenz Deutschland - Namensnennung - Version 2.0	14
UK Open Government Licence v3	14
Creative Commons Attribution License (cc-by)	15
Licentie gratis hergebruik	15
Odbl	16
Licence Creative Commons Attribution	16
CC 0 1.0	16
CC BY-NC-ND 4.0	17
Service public de Wallonie - Terms of Use	17
Data licence Germany – Attribution – Version 2.0	18
Licence Données Territoire (FNBP)	19
Open Data Commons Open Database License (ODbL)	19
Belgian NGI - ngi-standard-open	19
Datenlizenz Deutschland Namensnennung 2.0	19
Domaine public	20
Données sous licence gratuite de repartage	20
OPEN BY ASK (eine kommerzielle Nutzung der Daten ist nur mit Bewilligung des BFS erlaubt)	20
Open License Version 2.0	20
http://www.insee.fr/fr/service/default.asp?page=rediffusion/copyright.htm	21
Licence ODBL	22
Open data license - FLUVIUS	23
CC-by 4.0	24
dl-de-by 2.0	24
CC BY-ND	25
CC BY-NC-ND	26
CC0 1.0	28
Upon accessing the Licensed Data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE	28
Etalab-2.0	28
CC BY-NC	29
License Not Specified	29
notspecified	30
Licence Ouverte V2.0 (Etalab)	31
Custom License (see reference link)	31
CC BY-4.0	31
Licence Ouverte V2 (Etalab)	32
CC-0	36
Licence ouvert V2.0 Etalab	36
Creative Commons Attribution 3.0 Australia Licence	37
Licence Mobilité	39
Se conformer aux recommandations du producteur	43
ODC-BY	44
dl-de-by-2.0	44
Licence Ouverte Version 2.0	47
CC BY-SA	51
Open Database License-ODBL	55
DL-DE-BY-2.0	56
Elia Open Data Licence	58
Open Government Licence V 3.0	62
Public domain	63
ODbL	67
https://www.insee.fr/fr/information/2008466	72
Publiek domein	73
Licence Ouverte / Open Licence version 2.0	76
Licence ODbL Version Française	83
Creative Commons - CC0	89
Licence Ouverte 2.0 (Etalab)	89
CC0 - Universal open license	91
Licence Ouverte/Open License Version 2.0	93
licence ouverte / open licence	94
CC BY 3.0 CH + OpenStreetMap	112
Nutzungsbedingungen der LHP	114
Licence ouverte : https://www.etalab.gouv.fr/licence-ouverte-open-licence	115
Data licence Germany - Zero - Version 2.0	124
Licence ouverte / Open Licence	136
Atribución 4.0 Internacional (CC BY 4.0)	136
https://www.cityofkingston.ca/documents/10180/144997/CityofKingston_OpenDataLicense.pdf	136
Licence ODbL 1.0	144
https://data.sbb.ch/page/licence	160
CC0	180
CC By 4.0	187
http://www.opendefinition.org/licenses/cc-by	193
Licence Ouverte v1.0	200
Creative Commons Attribution 3.0 Australia	201
Open Database License	218
Dominio público	247
Licence ouverte (Etalab)	280
CC BY 4.0 EN	304
CC-BY	329
Open Government Licence - Vancouver	361
Datenlizenz Deutschland – Zero – Version 2.0	402
CC BY 3.0 CH	412
Modellicentie Gratis Hergebruik	440
CC BY 3	454
Open License v1.0	496
Licence Ouverte-LO	558
Creative Commons Attribution 3.0 Unported	643
Open Government Licence v3.0	843
Open License v2.0	869
Licence Ouverte v2.0	1030
Public Domain	1067
Licence Ouverte	1249
CC BY 4.0	1806
CC BY	2099
Open Database License (ODbL)	3707
Licence Ouverte (Etalab)	4298
None	8779
Licence Ouverte v2.0 (Etalab)	9964
